GAME_ID,TEAM_ID,PTS_ALLOWED_ROLL5,PTS_ALLOWED_ROLL10,PTS_ALLOWED_ROLL20
22200005,1610612737,,,
22200020,1610612737,,,
22200038,1610612737,102.5,,
22200057,1610612737,110.33333333333333,,
22200070,1610612737,111.0,,
22200085,1610612737,111.2,111.2,
22200099,1610612737,114.4,113.16666666666667,
22200110,1610612737,122.6,116.85714285714286,
22200134,1610612737,117.2,114.625,
22200149,1610612737,118.8,115.33333333333333,
22200162,1610612737,116.0,113.6,113.6
22200173,1610612737,116.4,115.4,114.63636363636364
22200188,1610612737,107.6,115.1,113.0
22200204,1610612737,112.0,114.6,113.61538461538461
22200214,1610612737,109.0,113.9,113.07142857142857
22200235,1610612737,114.6,115.3,113.93333333333334
22200248,1610612737,114.0,115.2,114.4375
22200263,1610612737,117.8,112.7,114.41176470588235
22200278,1610612737,114.8,113.4,113.94444444444444
22200293,1610612737,119.2,114.1,114.6842105263158
22200299,1610612737,115.2,114.9,114.25
22200313,1610612737,111.6,112.8,114.1
22200327,1610612737,110.4,114.1,114.6
22200354,1610612737,111.0,112.9,113.75
22200365,1610612737,109.6,114.4,114.15
22200380,1610612737,111.0,113.1,114.2
22200400,1610612737,114.2,112.9,114.05
22200404,1610612737,117.0,113.7,113.2
22200416,1610612737,120.8,115.9,114.65
22200428,1610612737,123.6,116.6,115.35
22200454,1610612737,122.2,116.6,115.75
22200468,1610612737,123.2,118.7,115.75
22200481,1610612737,120.8,118.9,116.5
22200508,1610612737,116.2,118.5,115.7
22200517,1610612737,115.0,119.3,116.85
22200530,1610612737,115.4,118.8,115.95
22200558,1610612737,116.4,119.8,116.35
22200575,1610612737,123.0,121.9,117.8
22200590,1610612737,125.4,120.8,118.35
22200604,1610612737,125.6,120.3,118.45
22200620,1610612737,125.6,120.5,118.55
22200633,1610612737,122.4,119.4,119.05
22200644,1610612737,116.0,119.5,119.2
22200661,1610612737,113.2,119.3,118.9
22200670,1610612737,109.8,117.7,118.5
22200684,1610612737,112.6,119.1,118.95
22200694,1610612737,114.6,118.5,119.15
22200708,1610612737,116.8,116.4,119.15
22200725,1610612737,118.4,115.8,118.3
22200745,1610612737,122.2,116.0,118.15
22200763,1610612737,121.8,117.2,118.85
22200777,1610612737,122.8,118.7,119.05
22200792,1610612737,118.4,117.6,118.55
22200801,1610612737,117.8,118.1,118.7
22200818,1610612737,117.0,119.6,118.65
22200832,1610612737,116.2,119.0,119.05
22200850,1610612737,111.8,117.3,117.9
22200857,1610612737,113.0,115.7,116.05
22200876,1610612737,120.2,119.0,117.4
22200896,1610612737,119.0,118.0,117.0
22200911,1610612737,119.6,117.9,117.55
22200923,1610612737,123.6,117.7,118.2
22200947,1610612737,126.2,119.6,118.6
22200958,1610612737,119.6,119.9,119.0
22200974,1610612737,118.6,118.8,119.2
22200985,1610612737,120.8,120.2,119.6
22200999,1610612737,119.4,121.5,119.4
22201008,1610612737,117.0,121.6,118.65
22201021,1610612737,121.6,120.6,119.8
22201048,1610612737,125.4,122.0,120.0
22201065,1610612737,123.2,122.0,119.95
22201078,1610612737,124.4,121.9,119.8
22201090,1610612737,124.4,120.7,120.15
22201107,1610612737,122.6,122.1,121.0
22201115,1610612737,121.4,123.4,121.1
22201131,1610612737,122.2,122.7,121.45
22201153,1610612737,120.6,122.5,122.0
22201167,1610612737,124.0,124.2,122.9
22201182,1610612737,125.0,123.8,122.2
22201191,1610612737,120.0,120.7,121.35
22201205,1610612737,118.6,120.4,121.2
22201216,1610612737,122.2,121.4,121.65
42200111,1610612737,121.4,122.7,121.7
42200112,1610612737,117.8,121.4,121.75
42200113,1610612737,120.6,120.3,121.85
42200114,1610612737,121.8,120.2,121.45
42200115,1610612737,120.4,121.3,121.9
42200116,1610612737,119.8,120.6,122.4
22300063,1610612737,123.0,120.4,122.1
22300079,1610612737,122.4,121.5,121.1
22300097,1610612737,123.2,122.5,121.45
22300104,1610612737,119.4,119.9,120.65
22300117,1610612737,118.6,119.2,120.95
22300135,1610612737,117.2,120.1,120.75
22300155,1610612737,115.0,118.7,119.5
22300172,1610612737,115.0,119.1,119.65
22300175,1610612737,116.8,118.1,119.7
22300018,1610612737,117.6,118.1,119.35
22300193,1610612737,117.4,117.3,118.85
22300029,1610612737,119.6,117.3,119.4
22300039,1610612737,119.6,117.3,119.9
22300227,1610612737,127.2,122.0,120.95
22300241,1610612737,132.8,125.2,122.2
22300246,1610612737,130.4,123.9,122.0
22300055,1610612737,129.8,124.7,121.7
22300272,1610612737,130.2,124.9,122.0
22300286,1610612737,125.8,126.5,122.3
22301209,1610612737,123.2,128.0,123.05
22301218,1610612737,124.4,127.4,122.35
22300296,1610612737,126.8,128.3,122.8
22300313,1610612737,127.0,128.6,122.95
22300330,1610612737,127.0,126.4,124.2
22300336,1610612737,121.4,122.3,123.75
22300352,1610612737,124.0,124.2,124.05
22300371,1610612737,123.8,125.3,125.0
22300384,1610612737,123.4,125.2,125.05
22300393,1610612737,120.8,123.9,125.2
22300408,1610612737,125.0,123.2,125.6
22300431,1610612737,123.2,123.6,125.5
22300445,1610612737,121.8,122.8,125.55
22300467,1610612737,121.6,122.5,125.55
22300480,1610612737,124.8,122.8,124.6
22300499,1610612737,129.8,127.4,124.85
22300521,1610612737,129.6,126.4,125.3
22300533,1610612737,132.6,127.2,126.25
22300543,1610612737,132.6,127.1,126.15
22300559,1610612737,130.4,127.6,125.75
22300570,1610612737,120.2,125.0,124.1
22300587,1610612737,117.6,123.6,123.6
22300595,1610612737,112.8,122.7,122.75
22300613,1610612737,110.8,121.7,122.1
22300626,1610612737,109.8,120.1,121.45
22300634,1610612737,116.8,118.5,122.95
22300653,1610612737,125.6,121.6,124.0
22300669,1610612737,129.0,120.9,124.05
22300690,1610612737,130.2,120.5,123.8
22300699,1610612737,129.8,119.8,123.7
22300716,1610612737,129.8,123.3,124.15
22300729,1610612737,130.0,127.8,125.7
22300742,1610612737,130.0,129.5,126.1
22300754,1610612737,129.8,130.0,125.85
22300763,1610612737,128.4,129.1,124.6
