PLAYER_NAME,TEAM,STATUS
Jock Landale,ATL,Day-To-Day
Keshon Gilbert,ATL,Day-To-Day
Jayson Tatum,BOS,Day-To-Day
Nolan Traore,BKN,Day-To-Day
Day'Ron Sharpe,BKN,Day-To-Day
Josh Minott,BKN,Day-To-Day
Danny Wolf,BKN,Day-To-Day
Noah Clowney,BKN,Day-To-Day
Egor Demin,BKN,Day-To-Day
Michael Porter Jr.,BKN,Day-To-Day
Terance Mann,BKN,Day-To-Day
Brandon Miller,CHA,Day-To-Day
PJ Hall,CHA,Day-To-Day
Zach Collins,CHI,Day-To-Day
Jalen Smith,CHI,Day-To-Day
Noa Essengue,CHI,Day-To-Day
Matas Buzelis,CHI,Day-To-Day
Josh Giddey,CHI,Day-To-Day
Nic Claxton,CHI,Day-To-Day
Guerschon Yabusele,CHI,Day-To-Day
Nick Richards,CHI,Day-To-Day
Isaac Okoro,CHI,Day-To-Day
Rob Dillingham,CHI,Day-To-Day
Dennis Schroder,CLE,Day-To-Day
Santi Aldama,DAL,Day-To-Day
Dereck Lively II,DAL,Day-To-Day
Naji Marshall,DAL,Day-To-Day
Cooper Flagg,DAL,Day-To-Day
P.J. Washington,DAL,Day-To-Day
Brandon Williams,DAL,Day-To-Day
Caleb Martin,DAL,Day-To-Day
Kyrie Irving,DAL,Day-To-Day
Marvin Bagley III,DEN,Day-To-Day
Peyton Watson,DEN,Day-To-Day
Aaron Gordon,DEN,Day-To-Day
Jimmy Butler III,GS,Out
Quinten Post,GS,Day-To-Day
LJ Cryer,GS,Day-To-Day
Moses Moody,GS,Out
Fred VanVleet,HOU,Day-To-Day
Kevin Durant,HOU,Day-To-Day
Steven Adams,HOU,Day-To-Day
Tyrese Haliburton,IND,Day-To-Day
Jarace Walker,IND,Day-To-Day
Ivica Zubac,IND,Day-To-Day
Pascal Siakam,IND,Day-To-Day
Ben Sheppard,IND,Day-To-Day
Aaron Nesmith,IND,Day-To-Day
Andrew Nembhard,IND,Day-To-Day
T.J. McConnell,IND,Day-To-Day
Johnny Furphy,IND,Out
Narcisse Ngoy,LAC,Out
Yanic Konan Niederhauser,LAC,Day-To-Day
Luka Doncic,LAL,Day-To-Day
Karim Lopez,MEM,Out
Walter Clayton Jr.,MEM,Out
GG Jackson,MEM,Day-To-Day
Richie Saunders,MEM,Out
Taylor Hendricks,MEM,Day-To-Day
Jaylen Wells,MEM,Day-To-Day
Cedric Coward,MEM,Day-To-Day
Zach Edey,MEM,Day-To-Day
Kentavious Caldwell-Pope,MEM,Day-To-Day
Cam Spencer,MEM,Day-To-Day
Scotty Pippen Jr.,MEM,Day-To-Day
Ty Jerome,MEM,Day-To-Day
Adama Bal,MEM,Day-To-Day
Myron Gardner,MIA,Day-To-Day
Dru Smith,MIA,Day-To-Day
Giannis Antetokounmpo,MIA,Day-To-Day
Nikola Jovic,MIA,Day-To-Day
Bam Adebayo,MIA,Day-To-Day
Kyle Kuzma,MIL,Day-To-Day
Myles Turner,MIL,Day-To-Day
Ryan Rollins,MIL,Day-To-Day
Kevin Porter Jr.,MIL,Day-To-Day
Gary Harris,MIL,Day-To-Day
Donte DiVincenzo,MIN,Out
Karlo Matkovic,NO,Day-To-Day
Zion Williamson,NO,Day-To-Day
Dejounte Murray,NO,Day-To-Day
Trey Murphy III,NO,Day-To-Day
Yves Missi,NO,Day-To-Day
Bryce McGowens,NO,Day-To-Day
Thomas Sorber,OKC,Day-To-Day
Jalen Williams,OKC,Day-To-Day
Ajay Mitchell,OKC,Day-To-Day
Nikola Topic,OKC,Day-To-Day
Jonathan Isaac,ORL,Day-To-Day
Franz Wagner,ORL,Day-To-Day
Anfernee Simons,PHI,Day-To-Day
Mark Williams,PHX,Day-To-Day
Jordan Goodwin,PHX,Day-To-Day
Ja Morant,POR,Day-To-Day
Damian Lillard,POR,Day-To-Day
Alex Karaban,SAC,Day-To-Day
Zach LaVine,SAC,Day-To-Day
Malik Monk,SAC,Day-To-Day
De'Andre Hunter,SAC,Day-To-Day
DeMar DeRozan,SAC,Day-To-Day
Domantas Sabonis,SAC,Day-To-Day
Russell Westbrook,SAC,Day-To-Day
Isaiah Stevens,SAC,Day-To-Day
Keegan Murray,SAC,Day-To-Day
Drew Eubanks,SAC,Day-To-Day
Jayden Quaintance,SA,Day-To-Day
Carter Bryant,SA,Day-To-Day
David Jones Garcia,SA,Day-To-Day
Chucky Hepburn,TOR,Day-To-Day
Immanuel Quickley,TOR,Day-To-Day
Jusuf Nurkic,UTAH,Day-To-Day
Jaren Jackson Jr.,UTAH,Day-To-Day
Lauri Markkanen,UTAH,Day-To-Day
Isaiah Collier,UTAH,Day-To-Day
Keyonte George,UTAH,Day-To-Day
Kyle Filipowski,UTAH,Day-To-Day
Kyshawn George,WSH,Day-To-Day
Bilal Coulibaly,WSH,Day-To-Day
Tre Johnson,WSH,Day-To-Day
Alex Sarr,WSH,Day-To-Day
Anthony Davis,WSH,Day-To-Day
Trae Young,WSH,Day-To-Day
Cam Whitmore,WSH,Day-To-Day
Tristan Vukcevic,WSH,Day-To-Day
